rarity,id,name,clause,originalDescription
精巧,heng_sao_liu_he,横扫六合,若只命中单个目标则伤害提高100%,对周围5尺5个目标造成(1.2708*攻击力)点伤害并添加12秒持续伤害效果，每2秒造成（0.125攻击力)点伤害。若只命中单个目标则伤害提高100%
精巧,han_di,撼地,使用轻功腾空跳向目标区域，对半径5尺范围内最多5个目标造成眩晕和伤害,使用轻功腾空跳向目标区域，对半径5尺范围内最多5个目标造成眩晕和伤害。持续3秒。
精巧,jiu_zhuan_gui_yi,九转归一,对目标造成伤害，将其击退12尺，击退中的目标如果碰撞障碍则眩晕4秒,对目标造成伤害，将其击退12尺，击退中的目标如果碰撞障碍则眩晕4秒。
精巧,chun_ni_hu_hua,春泥护花,给友方目标一个5层的护盾，使其受到的所有伤害降低40%，运功不会被伤害击退，被攻击则消耗一层，每消耗一层恢复自身3%气血最大值，持续20秒,给友方目标一个5层的护盾，使其受到的所有伤害降低40%，运功不会被伤害击退，被攻击则消耗一层，每消耗一层恢复自身3%气血最大值，持续20秒。
精巧,tian_di_di_ang,天地低昂,使自身化解受到的伤害55%，持续10秒,使自身化解受到的伤害55%，持续10秒。并不产生威胁值，运功不被打退，持续1秒。该招式的施放无视控制效果。
精巧,zuowang_wuwo,坐忘无我,以混元气劲护持自身，化解自身气血最大值5%伤害,以混元气劲护持自身，化解自身气血最大值5%伤害。
精巧,hua_die,化蝶,跳到空中后，消失在敌人视野中，并不受任何伤害，持续1秒,随风：跳跃一段距离。跳到空中后，消失在敌人视野中，并不受任何伤害，持续1秒。并向前冲刺一段距离。
精巧,ling_tai_xu,凌太虚,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的外功伤害降低30%，气场持续10秒,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的外功伤害降低30%，气场持续10秒。
精巧,chong_yin_yang,冲阴阳,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的内功伤害降低30%，气场持续10秒,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的内功伤害降低30%，气场持续10秒。
精巧,shi_xin_gu,蚀心蛊,使目标玩家不受控制，作用期间目标移动速度提高50%，受到的伤害降低50%，持续6秒,使目标玩家不受控制，作用期间目标移动速度提高50%，受到的伤害降低50%，持续6秒。若对队友施展，则持续时间减半。
精巧,hong_meng_tian_jin,鸿蒙天禁,天钺：将目标禁锢至“天禁空间”并使其召唤物全部失效，且无法提前解除，禁锢持续6秒，若目标为团队成员则卸除掉“阴性不利效果”“阳性不利效果”“混元不利效果”“毒不利效果”“持续伤害不利效果”各2个，同一目标20秒内只会被禁锢一次,天钺：将目标禁锢至“天禁空间”并使其召唤物全部失效，且无法提前解除，禁锢持续6秒，若目标为团队成员则卸除掉“阴性不利效果”“阳性不利效果”“混元不利效果”“毒不利效果”“持续伤害不利效果”各2个，同一目标20秒内只会被禁锢一次。
精巧,dun_li,盾立,保护自身不受伤害，2秒内反弹敌方对自身释放的所有招式的伤害及效果，该招式只对玩家生效,保护自身不受伤害，2秒内反弹敌方对自身释放的所有招式的伤害及效果，该招式只对玩家生效。
精巧,ru_yi_fa,如意法,清除自身当前所受的移动限制效果，使自身不受招式控制，持续3秒，并使自身接下来10秒内的下一个伤害招式附带该移动限制效果,清除自身当前所受的移动限制效果，使自身不受招式控制，持续3秒，并使自身接下来10秒内的下一个伤害招式附带该移动限制效果。
精巧,you_feng_piao_zong,游风飘踪,将自身所受的控制效果（不包括被推、被拉）转移给当前目标，持续5秒，并在10秒内减少15%受到的伤害，免疫控制效果（不包括被推、被拉）,将自身所受的控制效果（不包括被推、被拉）转移给当前目标，持续5秒，并在10秒内减少15%受到的伤害，免疫控制效果（不包括被推、被拉）。非受控状态下施展将返回7秒调息时间。
精巧,jiu_xiao_feng_lei,九霄风雷,使自身进入“机甲”状态，运功过程免疫控制和伤害，进入“机甲”状态可施展特殊招式，机甲状态持续20秒,使自身进入“机甲”状态，运功过程免疫控制和伤害，进入“机甲”状态可施展特殊招式，机甲状态持续20秒。
