color,rarity,id,name,hasDamage,damageMode,scaleNumbers,clause,originalDescription,missingScale
green,精巧,bang_da_gou_tou,棒打狗头,Y,直接伤害,1.4375,向目标冲刺造成(1.4375*攻击力)外功伤害，添加锁足和“心怵”效果,向目标冲刺造成(1.4375*攻击力)外功伤害，添加锁足和“心怵”效果。若目标已拥有“心怵”效果，则添加定身并强化“心怵”效果，同时该招式的调息时间额外增加16秒。,N
green,精巧,bao_can_shi,抱残式,N,无伤害,,,使目标跳跃能力降低，移动速度降低48%，持续8秒。,N
green,精巧,bu_feng_shi,捕风式,Y,直接伤害,0.5989,对目标造成(0.5989*攻击力)点伤害，并使其移动速度降低20%，持续3秒,对目标造成(0.5989*攻击力)点伤害，并使其移动速度降低20%，持续3秒。,N
green,精巧,cang_yue,沧月,Y,直接伤害,0.1000,击倒当前目标2秒，并击退其周围6尺内最多5个其他的敌对目标，造成(0.1000*攻击力)伤害,击倒当前目标2秒，并击退其周围6尺内最多5个其他的敌对目标，造成(0.1000*攻击力)伤害。,N
green,精巧,chong_yin_yang,冲阴阳,Y,直接伤害,,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的内功伤害降低30%，气场持续10秒,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的内功伤害降低30%，气场持续10秒。,N
green,精巧,chu_he_han_jie,楚河汉界,N,无伤害,,,在自身前方生成一道20尺刀气阻碍，敌方玩家目标无法穿越，持续4秒。,N
green,精巧,chuan,穿,Y,直接伤害,0.7187,对目标及其周围4尺内总共5个敌对目标造成(0.7187*攻击力)点伤害，使目标移动速度降低65%，周围目标移动速度降低40%，持续12秒，该效果无法被解除,对目标及其周围4尺内总共5个敌对目标造成(0.7187*攻击力)点伤害，使目标移动速度降低65%，周围目标移动速度降低40%，持续12秒，该效果无法被解除。,N
green,精巧,chuan_xin_nu,穿心弩,Y,持续伤害,0.125,使目标受到的疗伤成效降低50%，并使目标每3秒受到(0.125*攻击力)点伤害，持续18秒，可在移动中施展,使目标受到的疗伤成效降低50%，并使目标每3秒受到(0.125*攻击力)点伤害，持续18秒，可在移动中施展。,N
green,精巧,chun_ni_hu_hua,春泥护花,Y,直接伤害,,给友方目标一个5层的护盾，使其受到的所有伤害降低40%，运功不会被伤害击退，被攻击则消耗一层，每消耗一层恢复自身3%气血最大值，持续20秒,给友方目标一个5层的护盾，使其受到的所有伤害降低40%，运功不会被伤害击退，被攻击则消耗一层，每消耗一层恢复自身3%气血最大值，持续20秒。,N
green,精巧,da_dao_wu_shu,大道无术,N,无伤害,,,使目标定身，持续6秒。,N
green,精巧,dican_longxiang,帝骖龙翔,Y,直接伤害,0.01,对周围8尺内最多5个目标造成(0.01*攻击力)点伤害并定身，持续4秒,对周围8尺内最多5个目标造成(0.01*攻击力)点伤害并定身，持续4秒。,N
green,精巧,dienong_zu,蝶弄足,N,无伤害,,,使自身移动速度提高55%，持续15秒，清除自身所有移动限制(击倒除外)并使自身免疫控制效果(被拉除外)，持续3秒。,N
green,精巧,dou_zhuan_xing_yi,斗转星移,N,无伤害,,,立刻与敌对目标侠士交换位置(免疫被拉的目标除外)。,N
green,精巧,dun_li,盾立,Y,反弹伤害,,保护自身不受伤害，2秒内反弹敌方对自身释放的所有招式的伤害及效果，该招式只对玩家生效,保护自身不受伤害，2秒内反弹敌方对自身释放的所有招式的伤害及效果，该招式只对玩家生效。,Y
green,精巧,fei_ren_hui_zhuan,飞刃回转,Y,持续伤害,0.52,向敌方挥出旋转的刀气，会自动追踪附近敌对目标，并每0.5秒造成(0.52攻击力)伤害，持续6秒,向敌方挥出旋转的刀气，会自动追踪附近敌对目标，并每0.5秒造成(0.52攻击力)伤害，持续6秒。,N
green,精巧,feng_liu_yun_san,风流云散,N,无伤害,,,冲刺至目标点，并获得2层“云散”效果：施展“一阳指”套路招式时会闪现移动至一个随机攻击位置。,N
green,精巧,fuyao_zhishang,扶摇直上,N,无伤害,,,江湖轻功，身轻如燕，能跳得更高，并能施展踏云。,N
green,精巧,gu_feng_sa_ta,孤风飒踏,N,无伤害,,,解除自身控制，投掷锁链至目标点，使自身冲向其位置。,N
green,精巧,han_di,撼地,Y,直接伤害,,使用轻功腾空跳向目标区域，对半径5尺范围内最多5个目标造成眩晕和伤害,使用轻功腾空跳向目标区域，对半径5尺范围内最多5个目标造成眩晕和伤害。持续3秒。,Y
green,精巧,heng_sao_liu_he,横扫六合,Y,持续伤害,1.2708|0.125,对周围5尺5个目标造成(1.2708*攻击力)点伤害并添加12秒持续伤害效果，每2秒造成（0.125攻击力)点伤害,对周围5尺5个目标造成(1.2708*攻击力)点伤害并添加12秒持续伤害效果，每2秒造成（0.125攻击力)点伤害。若只命中单个目标则伤害提高100%,N
green,精巧,hong_meng_tian_jin,鸿蒙天禁,Y,持续伤害,,天钺：将目标禁锢至“天禁空间”并使其召唤物全部失效，且无法提前解除，禁锢持续6秒，若目标为团队成员则卸除掉“阴性不利效果”“阳性不利效果”“混元不利效果”“毒不利效果”“持续伤害不利效果”各2个，同一目标20秒内只会被禁锢一次,天钺：将目标禁锢至“天禁空间”并使其召唤物全部失效，且无法提前解除，禁锢持续6秒，若目标为团队成员则卸除掉“阴性不利效果”“阳性不利效果”“混元不利效果”“毒不利效果”“持续伤害不利效果”各2个，同一目标20秒内只会被禁锢一次。,Y
green,精巧,houyao,后撤,N,无伤害,,,向后方快速撤退。,N
green,精巧,hua_die,化蝶,N,无伤害,,,随风：跳跃一段距离。跳到空中后，消失在敌人视野中，并不受任何伤害，持续1秒。并向前冲刺一段距离。,N
green,精巧,menghu_xiasha,回风扫叶,Y,直接伤害,1.0,对目标造成（1.0攻击力）点伤害,对目标造成（1.0攻击力）点伤害。,N
green,精巧,ji_le_yin,极乐引,N,无伤害,,,将自身周围10尺范围内最多6个敌对目标拉至身边，使其眩晕4秒。,N
green,精巧,ji,疾,Y,直接伤害,3.3750,向前冲刺，并对处于冲刺路径上的最多5名敌人造成(3.3750*攻击力)点外功伤害,向前冲刺，并对处于冲刺路径上的最多5名敌人造成(3.3750*攻击力)点外功伤害。,N
green,精巧,jiru_feng,疾如风,N,无伤害,,,解除所有移动限制，并且不受招式控制(击退和被拉除外)，移动速度提高100%，持续6秒。,N
green,精巧,jian_fei_jing_tian,剑飞惊天,Y,直接伤害,0.7187,对目标造成(0.7187*攻击力)点伤害，使目标下马并且移动速度降低60%，持续5秒,对目标造成(0.7187*攻击力)点伤害，使目标下马并且移动速度降低60%，持续5秒。若你攻击的目标正在运功，则使该目标5秒内无法运功。,N
green,精巧,jian_zhuan_liu_yun,剑转流云,N,无伤害,,,卸除目标阴性、混元性、阳性、毒性内功增益气劲各一个。,N
green,精巧,jiu_xiao_feng_lei,九霄风雷,N,无伤害,,,使自身进入“机甲”状态，运功过程免疫控制和伤害，进入“机甲”状态可施展特殊招式，机甲状态持续20秒。,N
green,精巧,jiu_zhuan_gui_yi,九转归一,Y,直接伤害,,对目标造成伤害，将其击退12尺，击退中的目标如果碰撞障碍则眩晕4秒,对目标造成伤害，将其击退12尺，击退中的目标如果碰撞障碍则眩晕4秒。,Y
green,精巧,ku_can_gu,枯残蛊,N,无伤害,,,使自身移动速度降低90%，招式施展距离提高12尺，持续12秒。,N
green,精巧,lan_cui_yu_zhe,兰摧玉折,Y,持续伤害,0.104,使目标每3秒受到(0.104*攻击力)点伤害，持续18秒,使目标每3秒受到(0.104*攻击力)点伤害，持续18秒。,N
green,精巧,leizhenzi,雷震子,N,无伤害,,,使目标眩晕，持续4秒。,N
green,精巧,lie_ri_zhan,烈日斩,Y,额外伤害,3.2968|1.6484,对目标造成(3.2968*攻击力)点伤害，并使其内功防御等级降低15%，持续12秒，当目标拥有“银月斩”效果时将对其额外造成(1.6484攻击力)点伤害,对目标造成(3.2968*攻击力)点伤害，并使其内功防御等级降低15%，持续12秒，当目标拥有“银月斩”效果时将对其额外造成(1.6484攻击力)点伤害。,N
green,精巧,ling_ran_tian_feng,凌然天风,N,无伤害,,,凌空而起，免疫控制(击退和被拉除外)，并使得自身身轻如燕，施展招式最大距离提高5尺，施展任意招式可以额外获得一次跳跃机会，且跳跃(自身按W/A/S/D空格进行跳跃时)变为朝对应方向的一小段冲刺效果，持续8秒。“凌然天风”期间起跳及跳跃时自身免疫击退。,N
