rarity,id,name,hasDamage,damageMode,scaleNumbers,clause,originalDescription,missingScale
精巧,heng_sao_liu_he,横扫六合,Y,持续伤害,1.2708|0.125,对周围5尺5个目标造成(1.2708*攻击力)点伤害并添加12秒持续伤害效果，每2秒造成（0.125攻击力)点伤害,对周围5尺5个目标造成(1.2708*攻击力)点伤害并添加12秒持续伤害效果，每2秒造成（0.125攻击力)点伤害。若只命中单个目标则伤害提高100%,N
精巧,heng_sao_liu_he,横扫六合,Y,直接伤害,,若只命中单个目标则伤害提高100%,对周围5尺5个目标造成(1.2708*攻击力)点伤害并添加12秒持续伤害效果，每2秒造成（0.125攻击力)点伤害。若只命中单个目标则伤害提高100%,Y
精巧,menghu_xiasha,回风扫叶,Y,直接伤害,1.0,对目标造成（1.0攻击力）点伤害,对目标造成（1.0攻击力）点伤害。,N
精巧,ting_lei,听雷,Y,直接伤害,1.7312,对目标造成(1.7312*攻击力)点伤害，每施展一次则使该招式伤害提高10%，最多提高30%，该效果脱离战斗后消失,对目标造成(1.7312*攻击力)点伤害，每施展一次则使该招式伤害提高10%，最多提高30%，该效果脱离战斗后消失。,N
精巧,fuyao_zhishang,扶摇直上,N,无伤害,,,江湖轻功，身轻如燕，能跳得更高，并能施展踏云。,N
精巧,jian_zhuan_liu_yun,剑转流云,N,无伤害,,,卸除目标阴性、混元性、阳性、毒性内功增益气劲各一个。,N
精巧,lie_ri_zhan,烈日斩,Y,额外伤害,3.2968|1.6484,对目标造成(3.2968*攻击力)点伤害，并使其内功防御等级降低15%，持续12秒，当目标拥有“银月斩”效果时将对其额外造成(1.6484攻击力)点伤害,对目标造成(3.2968*攻击力)点伤害，并使其内功防御等级降低15%，持续12秒，当目标拥有“银月斩”效果时将对其额外造成(1.6484攻击力)点伤害。,N
精巧,sanhuan_taoyue,三环套月,Y,额外伤害,4.1000,对目标造成(4.1000*攻击力)点伤害，并添加“三环套月”效果，当“三环套月”叠加至3层时会额外附带(4.1000*攻击力)点伤害,对目标造成(4.1000*攻击力)点伤害，并添加“三环套月”效果，当“三环套月”叠加至3层时会额外附带(4.1000*攻击力)点伤害。,N
精巧,shang_yang_zhi,商阳指,Y,持续伤害,0.074,使目标每3秒受到(0.074*攻击力)点伤害，持续18秒,使目标每3秒受到(0.074*攻击力)点伤害，持续18秒。,N
精巧,yin_yue_zhan,银月斩,Y,额外伤害,3.2968|0.074|1.6484,对目标造成(3.2968*攻击力)点伤害，并对其每2秒造成(0.074*攻击力)点伤害，持续12秒，当目标拥有“烈日斩”效果时将对其额外造成(1.6484攻击力)点伤害,对目标造成(3.2968*攻击力)点伤害，并对其每2秒造成(0.074*攻击力)点伤害，持续12秒，当目标拥有“烈日斩”效果时将对其额外造成(1.6484攻击力)点伤害。,N
精巧,yu_shi_ju_fen,玉石俱焚,Y,直接伤害,0.5989,对目标造成(0.5989*攻击力)点伤害，若该目标正受到自身“绝境·商阳指”“绝境·兰摧玉折”“绝境·钟林毓秀”“绝境·蛇影”“绝境·蟾啸”持续性伤害，则使其剩余伤害立即生效,对目标造成(0.5989*攻击力)点伤害，若该目标正受到自身“绝境·商阳指”“绝境·兰摧玉折”“绝境·钟林毓秀”“绝境·蛇影”“绝境·蟾啸”持续性伤害，则使其剩余伤害立即生效。每一个持续伤害效果被吞噬会额外造成(1.0攻击力）点伤害。,N
精巧,yu_shi_ju_fen,玉石俱焚,Y,额外伤害,1.0,每一个持续伤害效果被吞噬会额外造成(1.0攻击力）点伤害,对目标造成(0.5989*攻击力)点伤害，若该目标正受到自身“绝境·商阳指”“绝境·兰摧玉折”“绝境·钟林毓秀”“绝境·蛇影”“绝境·蟾啸”持续性伤害，则使其剩余伤害立即生效。每一个持续伤害效果被吞噬会额外造成(1.0攻击力）点伤害。,N
精巧,yue_chao_zhan_bo,跃潮斩波,Y,直接伤害,7.54,立即冲向目标释放一道掌法并造成(7.54攻击力)点伤害,立即冲向目标释放一道掌法并造成(7.54攻击力)点伤害。,N
精巧,bang_da_gou_tou,棒打狗头,Y,直接伤害,1.4375,向目标冲刺造成(1.4375*攻击力)外功伤害，添加锁足和“心怵”效果,向目标冲刺造成(1.4375*攻击力)外功伤害，添加锁足和“心怵”效果。若目标已拥有“心怵”效果，则添加定身并强化“心怵”效果，同时该招式的调息时间额外增加16秒。,N
精巧,dican_longxiang,帝骖龙翔,Y,直接伤害,0.01,对周围8尺内最多5个目标造成(0.01*攻击力)点伤害并定身，持续4秒,对周围8尺内最多5个目标造成(0.01*攻击力)点伤害并定身，持续4秒。,N
精巧,han_di,撼地,Y,直接伤害,,使用轻功腾空跳向目标区域，对半径5尺范围内最多5个目标造成眩晕和伤害,使用轻功腾空跳向目标区域，对半径5尺范围内最多5个目标造成眩晕和伤害。持续3秒。,Y
精巧,jiu_zhuan_gui_yi,九转归一,Y,直接伤害,,对目标造成伤害，将其击退12尺，击退中的目标如果碰撞障碍则眩晕4秒,对目标造成伤害，将其击退12尺，击退中的目标如果碰撞障碍则眩晕4秒。,Y
精巧,leizhenzi,雷震子,N,无伤害,,,使目标眩晕，持续4秒。,N
精巧,chuan,穿,Y,直接伤害,0.7187,对目标及其周围4尺内总共5个敌对目标造成(0.7187*攻击力)点伤害，使目标移动速度降低65%，周围目标移动速度降低40%，持续12秒，该效果无法被解除,对目标及其周围4尺内总共5个敌对目标造成(0.7187*攻击力)点伤害，使目标移动速度降低65%，周围目标移动速度降低40%，持续12秒，该效果无法被解除。,N
精巧,chun_ni_hu_hua,春泥护花,Y,直接伤害,,给友方目标一个5层的护盾，使其受到的所有伤害降低40%，运功不会被伤害击退，被攻击则消耗一层，每消耗一层恢复自身3%气血最大值，持续20秒,给友方目标一个5层的护盾，使其受到的所有伤害降低40%，运功不会被伤害击退，被攻击则消耗一层，每消耗一层恢复自身3%气血最大值，持续20秒。,Y
精巧,dienong_zu,蝶弄足,N,无伤害,,,使自身移动速度提高55%，持续15秒，清除自身所有移动限制(击倒除外)并使自身免疫控制效果(被拉除外)，持续3秒。,N
精巧,gu_feng_sa_ta,孤风飒踏,N,无伤害,,,解除自身控制，投掷锁链至目标点，使自身冲向其位置。,N
精巧,houyao,后撤,N,无伤害,,,向后方快速撤退。,N
精巧,ji,疾,Y,直接伤害,3.3750,向前冲刺，并对处于冲刺路径上的最多5名敌人造成(3.3750*攻击力)点外功伤害,向前冲刺，并对处于冲刺路径上的最多5名敌人造成(3.3750*攻击力)点外功伤害。,N
精巧,jiru_feng,疾如风,N,无伤害,,,解除所有移动限制，并且不受招式控制(击退和被拉除外)，移动速度提高100%，持续6秒。,N
精巧,lingxiao_lansheng,凌霄揽胜,N,无伤害,,,江湖轻功，向左侧迅速移动，可以避开敌人的攻击。过程中不受招式控制。,N
精巧,niao_xiang_bi_kong,鸟翔碧空,N,无伤害,,,突破内功限制，能够在空中连续跳跃多次，持续15秒。,N
精巧,nieyun_zhuyue,蹑云逐月,N,无伤害,,,江湖轻功，解除被击僵直，向前冲刺一段距离。冲刺过程中不受招式控制。,N
精巧,qionglong_huasheng,穹隆化生,N,无伤害,,,自身将向前冲刺，持续2秒，可以转向，结束后在脚下生成“生太极”气场，并回复自身10%的最大气血值。,N
精巧,tai_yin_zhi,太阴指,N,无伤害,,,向后疾退，解除自身锁足效果，疾退过程中自身被命中几率降低100%。,N
精巧,tian_di_di_ang,天地低昂,Y,直接伤害,,使自身化解受到的伤害55%，持续10秒,使自身化解受到的伤害55%，持续10秒。并不产生威胁值，运功不被打退，持续1秒。该招式的施放无视控制效果。,Y
精巧,xinglou_yueying,星楼月影,N,无伤害,,,清除自身所有移动限制，并使自身不受招式控制(击退和被拉除外)，持续8秒。,N
精巧,yaotai_zhenhe,瑶台枕鹤,N,无伤害,,,江湖轻功，向右侧迅速移动，可以避开敌人攻击。过程中不受招式控制。,N
精巧,yingfeng_huilang,迎风回浪,N,无伤害,,,向后疾退，避开敌人的攻击。过程中不受招式控制。,N
精巧,yuqi,骑御,N,无伤害,,,在非战斗状态施展后能成功驾驭和下马，施展驾驭需3秒。,N
精巧,yun_qi_song,云栖松,N,无伤害,,,恢复5%气血值，解除自身阳性、混元性、阴性、毒性不利效果各两个并使自身被命中概率降低60%，持续10秒。,N
精巧,zuowang_wuwo,坐忘无我,Y,直接伤害,,以混元气劲护持自身，化解自身气血最大值5%伤害,以混元气劲护持自身，化解自身气血最大值5%伤害。,Y
精巧,chuan_xin_nu,穿心弩,Y,持续伤害,0.125,使目标受到的疗伤成效降低50%，并使目标每3秒受到(0.125*攻击力)点伤害，持续18秒，可在移动中施展,使目标受到的疗伤成效降低50%，并使目标每3秒受到(0.125*攻击力)点伤害，持续18秒，可在移动中施展。,N
精巧,lan_cui_yu_zhe,兰摧玉折,Y,持续伤害,0.104,使目标每3秒受到(0.104*攻击力)点伤害，持续18秒,使目标每3秒受到(0.104*攻击力)点伤害，持续18秒。,N
精巧,zhong_lin_yu_xiu,钟林毓秀,Y,持续伤害,0.099,使目标攻击降低5%，每3秒受到(0.099*攻击力)点伤害，持续18秒,使目标攻击降低5%，每3秒受到(0.099*攻击力)点伤害，持续18秒。,N
精巧,yan_yu_xing,烟雨行,N,无伤害,,,解除自身锁足和减速不利效果，快速冲向前方，施展过程中不受控制招式影响。,N
精巧,po_feng,破风,Y,额外伤害,0.15|0.125,击破目标护甲，使其防御等级降低5%，每2秒受到(0.15*攻击力)点伤害，持续12秒，若目标免疫击倒则额外添加“流血”效果，使其每2秒受到（0.125攻击力)点伤害，持续12秒,击破目标护甲，使其防御等级降低5%，每2秒受到(0.15*攻击力)点伤害，持续12秒，若目标免疫击倒则额外添加“流血”效果，使其每2秒受到（0.125攻击力)点伤害，持续12秒。,N
精巧,da_dao_wu_shu,大道无术,N,无伤害,,,使目标定身，持续6秒。,N
精巧,hua_die,化蝶,Y,直接伤害,,跳到空中后，消失在敌人视野中，并不受任何伤害，持续1秒,随风：跳跃一段距离。跳到空中后，消失在敌人视野中，并不受任何伤害，持续1秒。并向前冲刺一段距离。,Y
精巧,ji_le_yin,极乐引,N,无伤害,,,将自身周围10尺范围内最多6个敌对目标拉至身边，使其眩晕4秒。,N
精巧,shao_ming_zhi,少明指,Y,直接伤害,0.7239,对目标造成(0.7239*攻击力)点伤害，并解除其身上的混元、阳性、阴性、毒性有益气劲各两个,对目标造成(0.7239*攻击力)点伤害，并解除其身上的混元、阳性、阴性、毒性有益气劲各两个。,N
精巧,ling_tai_xu,凌太虚,Y,直接伤害,,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的外功伤害降低30%，气场持续10秒,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的外功伤害降低30%，气场持续10秒。,Y
精巧,chong_yin_yang,冲阴阳,Y,直接伤害,,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的内功伤害降低30%，气场持续10秒,在自身脚下产生一个15尺范围气场，在气场范围内自身和友方目标受到的内功伤害降低30%，气场持续10秒。,Y
精巧,bao_can_shi,抱残式,N,无伤害,,,使目标跳跃能力降低，移动速度降低48%，持续8秒。,N
精巧,bu_feng_shi,捕风式,Y,直接伤害,0.5989,对目标造成(0.5989*攻击力)点伤害，并使其移动速度降低20%，持续3秒,对目标造成(0.5989*攻击力)点伤害，并使其移动速度降低20%，持续3秒。,N
精巧,fei_ren_hui_zhuan,飞刃回转,Y,持续伤害,0.52,向敌方挥出旋转的刀气，会自动追踪附近敌对目标，并每0.5秒造成(0.52攻击力)伤害，持续6秒,向敌方挥出旋转的刀气，会自动追踪附近敌对目标，并每0.5秒造成(0.52攻击力)伤害，持续6秒。,N
精巧,tai_ji_wu_ji,太极无极,Y,直接伤害,4.4937,对目标造成(4.4937*攻击力)点伤害，若目标处于“锁足”“定身”“眩晕”状态则使其20秒内受到的伤害提高20%，该效果可叠加5层,对目标造成(4.4937*攻击力)点伤害，若目标处于“锁足”“定身”“眩晕”状态则使其20秒内受到的伤害提高20%，该效果可叠加5层。,N
精巧,tian_jue_di_mie,天绝地灭,Y,引爆/爆炸伤害,11.05,在目标位置投放“天绝地灭”9秒后将自动引爆造成将(11.05 攻击力）点伤害，并将周围15尺范围内最多五个敌方目标拉到中心点,在目标位置投放“天绝地灭”9秒后将自动引爆造成将(11.05 攻击力）点伤害，并将周围15尺范围内最多五个敌方目标拉到中心点。,N
精巧,zhen_chi_tu_nan,振翅图南,Y,直接伤害,0.49,命令海雕在指定位置扇出一道飓风，持续对周围造成12次(0.49 攻击力)点伤害，持续6秒,命令海雕在指定位置扇出一道飓风，持续对周围造成12次(0.49 攻击力)点伤害，持续6秒。飓风会自动跟随附近敌对目标(优先自身目标)。,N
